Beam center : 0 0 2 mm
Beam power  : 10 W
Beam waist  : 0.3 mm (radius at the intensity of 1/e^2)
RayleighLength : 1157.94 mm (M^2==1)
Peak intensity : 70.7355 W/mm^2
Time duration : -1.79769e+308 - 1.79769e+308 s
Detuning : 0 [rad/s] (0 [Hz])
Beam center : 0 0 3 mm
Beam center timing : 2e-06 s
Beam energy  : 0.1 J
Beam waist  : 2 mm (radius at the intensity of 1/e^2)
Beam duration : 2e-09 s (FWHM), 8.49322e-10 s (sigma)
RayleighLength : 35398.2 mm (M^2==1)
Peak power : 4.69719e+07 W
Peak intensity at the waist : 7.4758e+06 W/mm^2
Rho 0.626838 0 0 0 0
Rho 0.422861 -1.64475e-213 4.46675e-214 0 0
Rho 1 0 0 0 0
Rho 0.470075 0 0 0 0
Rho 0.672902 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.725073 0 0 0 0
Rho 0.488841 0 0 0 0
Rho 0.777853 2.20779e-10 2.35982e-10 1.34255e-19 1.15994e-18
Rho 0.474139 -8.22813e-93 3.49696e-93 1.68581e-184 -3.82457e-192
Rho 0.776057 0 0 0 0
Rho 0.537905 0 0 0 0
Rho 0.586602 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.846294 0 0 0 0
Rho 0.631531 1.48576e-190 -3.14768e-191 0 0
Rho 0.453396 -3.9225e-268 2.35129e-268 0 0
Rho 0.493571 0 0 0 0
Rho 0.553996 1.6405e-05 -0.000126227 2.92464e-08 2.00701e-09
Rho 0.789808 0 0 0 0
Rho 0.491571 0 0 0 0
Rho 1 0 0 0 0
Rho 0.568896 0 0 0 0
Rho 0.59794 -9.80924e-39 -2.07393e-38 8.80274e-76 -1.82286e-86
Rho 0.554304 0 0 0 0
Rho 1 0 0 0 0
Rho 0.709306 0 0 0 0
Rho 0.432043 1.24399e-99 1.53994e-100 3.65751e-198 1.10809e-236
Rho 0.671889 0 0 0 0
Rho 0.745902 3.16557e-291 5.47918e-287 0 0
Rho 0.498 0 0 0 0
Rho 0.53931 0 0 0 0
Rho 0.425672 0 0 0 0
Rho 0.94354 1.89084e-76 1.69948e-75 3.08806e-150 9.23291e-152
Rho 0.407778 3.87227e-17 7.44729e-17 1.72801e-32 3.91656e-48
Rho 1 0 0 0 0
Rho 0.600967 9.03823e-30 -3.93605e-30 1.61709e-58 3.05431e-87
Rho 0.975488 1.13339e-185 3.89538e-184 0 0
Rho 0.597772 5.56796e-293 -5.25873e-294 0 0
Rho 0.392927 -7.14615e-05 -1.39446e-05 1.34915e-08 2.77354e-12
Rho 0.544749 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.638623 0 0 0 0
Rho 0.76877 -3.95827e-36 -4.68799e-37 -2.21413e-73 3.8864e-73
Rho 0.775035 2.24098e-166 2.53205e-166 0 0
Rho 0.622653 0 0 0 0
Rho 0.917899 0 0 0 0
Rho 0.678949 0 0 0 0
Rho 0.69295 0 0 0 0
Rho 0.631076 -8.39211e-05 -0.000110796 3.06121e-08 3.83127e-10
Rho 0.500996 0 0 0 0
Rho 0.49107 0 0 0 0
Rho 0.449639 0.000126876 -0.000128661 7.2616e-08 5.34266e-11
Rho 0.559919 0 0 0 0
Rho 0.731102 0 0 0 0
Rho 1 0 0 0 0
Rho 0.878434 6.35601e-06 1.21482e-05 2.13993e-10 3.71658e-15
Rho 0.429736 0.000103285 0.000103378 4.96927e-08 3.10313e-08
Rho 0.570872 1.12203e-52 -3.86239e-53 6.92439e-105 1.26229e-104
Rho 0.914359 0 0 0 0
